lower,rep_voca_id,merge_voca_ids,add_meaning_ids
wafer,26254,43491,114566
wanted,10834,31262,
washington,17199,29919,
watchdog,4057,30392,86024
western,1800,36590,
whereas,4860,45594,
while,3294,45603,
william,49963,37557,
worth,626,29812,
yield,1915,52475,
