lower,variants,is_proper,rep_word,rep_voca_id,merge_voca_ids,add_meaning_ids
propose,propose#257 | propose#52102,,propose,257,52102,
protege,protege#20644,,protege,20644,,
protégé,protégé#39653,,protégé,39653,,
rational,rational#2467 | rational#52415,,rational,2467,52415,
recognizable,recognizable#17831 | recognizable#52149,,recognizable,17831,52149,
regulation,regulation#4789 | regulation#52207,,regulation,4789,52207,
relevant,relevant#1819 | relevant#52340,,relevant,1819,52340,
reluctant,reluctant#2518 | reluctant#52433,,reluctant,2518,52433,
resonate,resonate#11545 | resonate#52087,,resonate,11545,52087,
respondent,respondent#24650 | respondent#52094,,respondent,24650,52094,
royal,royal#344 | Royal#30323,Y,Royal,30323,344,
sally,sally#22508 | Sally#30474,Y,Sally,30474,22508,
sculptor,sculptor#4748 | sculptor#51995,,sculptor,4748,51995,
sean,sean#44450 | Sean#50130,Y,Sean,50130,44450,
setting,setting#5293 | setting#52161,,setting,5293,52161,
shift,shift#1030 | shift#52080,,shift,1030,52080,
shortage,shortage#4210 | shortage#51967 | shortage#52058,,shortage,4210,"51967,52058",
sign up,sign up#52186 | sign up#52227 | sign up#52275,,sign up,52186,"52227,52275",
slippery,slippery#1141 | slippery#51972 | slippery#52061,,slippery,1141,"51972,52061",
smith,smith#10346 | Smith#29920,Y,Smith,29920,10346,
specific,specific#365 | specific#52217 | specific#52259 | specific#52307,,specific,365,"52217,52259,52307",
status,status#971 | status#52267 | status#52315,,status,971,"52267,52315",
subjectivity,subjectivity#28194 | subjectivity#52200 | subjectivity#52242 | subjectivity#52290,,subjectivity,28194,"52200,52242,52290",
submission,submission#10810 | submission#52111,,submission,10810,52111,
suboptimal,suboptimal#21962 | suboptimal#52195 | suboptimal#52236 | suboptimal#52284,,suboptimal,21962,"52195,52236,52284",
subsequent,subsequent#2211 | subsequent#52359,,subsequent,2211,52359,
subsistence,subsistence#19445 | subsistence#52047,,subsistence,19445,52047,
substantial,substantial#1944 | substantial#52113,,substantial,1944,52113,
