voca_id,word,system_dictionary,edit1_suggestions,meaning_count,example_count,legacy_books,admin_books,error_meaning_ids,placeholder_meaning_ids,reversed_example_ids,untagged_example_ids,meanings
17272,nonconform,yes,,3,0,1,0,,,,,따르지 않다 / 국교를 받들지 않다 / 순종하지 않다
17275,dartle,yes,,2,0,1,0,,,,,여러 번 던지다 / 자꾸 움직이다
17332,metrist,yes,,2,0,1,0,,,,,작시가 / 운율학자
17364,naysay,yes,,3,0,10,0,,,,,거부 / 거절 / 부인
17424,firepot,no,,3,0,5,0,,,,,화실 / 냄비 / 아궁이
17448,unentangled,yes,,2,0,2,0,,,,,휘말려 들지 않은 / 연루되지 않은
17597,impassion,yes,,3,0,18,0,,,,,…을 깊이 감동시키다 / 자극하다 / 흥분시키다
17656,biometer,yes,,3,0,1,0,,,,,생체 측정기 / 생물계 / 그 지표가 되는 생물
17659,interwind,yes,,2,0,7,0,,,,,한데 감다 / 꼬아 짜다
17685,untread,yes,,1,0,2,0,,,,,되돌아가다
17686,unrip,yes,,3,0,1,0,,,,,절개 하다 / 누설하다 / …을 알리다
17703,crevecœur,no,,1,0,1,0,,,,,크레브쾨르
17799,cross-stitch,yes,,1,0,1,0,,,,,십자수
17913,peperino,yes,,2,0,1,0,,,,,유연한 불점결성의 황회색 응회암 / 페페리노
17920,comprisal,yes,,3,0,2,0,,,,,구성의 / 포함 / 함유
17954,conscientization,no,,2,0,1,0,,,,,무교육자의 의식화 운동 / 의식화 운동
17973,disorderedly,yes,,2,0,1,0,,,,,어수선하게 / 엉망으로
17993,sales rep,no,,3,0,1,0,,,,,외판원 / 판매 대행인 / 출장 판매원
18274,counteragent,yes,,3,0,2,0,,,,,반작용제 / 반항력 / 반대 동인
18299,dumbledor,no,dumbledore,2,0,2,0,,,,,띠호박벌 / 왕풍뎅이의 일종
18316,knuckleheaded,no,,3,0,2,0,,,,,바보같은 / 멍청한 / 얼간이의
18414,cognitional,yes,,1,0,1,0,,,,,인식의
18415,adolescently,yes,,2,0,2,0,,,,,청소년기에 / 청소년 특유의
18480,book stack,yes,,1,0,3,0,,,,,서가
18502,deleteriously,yes,,2,0,3,0,,,,,해롭게 / 유해하게
18506,disrespectability,no,,2,0,1,0,,,,,전통적인 예의범절을 따르지 않음 / 존경할 만하지 못함
18550,artificialize,yes,,2,0,1,0,,,,,인공적으로 하다 / 부자연스럽게 하다
18655,consecution,yes,,3,0,3,0,,,,,연속 / 논리의 연관 / 일관성
18657,impersonalize,yes,,1,0,2,0,,,,,…을 비인격적으로 하다
18661,cockeye,yes,,3,0,1,0,,,,,사팔뜨기 / 사시 / 좌완 투수
18679,chemosmosis,yes,,3,0,1,0,,,,,화학적 침투 작용 / 화학 침투 / 화학 삼투 작용
18692,longeval,yes,,3,0,1,0,,,,,오래 계속되는 / 장수의 / 수명이 긴
18693,longevous,yes,,3,0,1,0,,,,,장수의 / 명이 긴 / 수명이 긴
18696,discommendable,yes,,1,0,1,0,,,,,안 좋은 소리를 들을만한
18706,dandruffy,yes,,3,0,1,0,,,,,비듬의 / 비듬이 많은 / 비듬 같은
18707,unprohibited,yes,,1,0,1,0,,,,,허가된
18715,afternooner,no,,1,0,1,0,,,,,오후지
18718,affluential,no,,1,0,1,0,,,,,막대한 부로 인해 영향력을 가진 사람
18719,affluently,yes,,1,0,1,0,,,,,부유하게
